DocID,Title,Description
ADM 1100,Introduction to Business Management (3 units),"
This course provides the student with the basic knowledge necessary to effectively manage an organization. The student will learn what constitutes the manager's role and how the managerial functions of planning, organizing, leading, controlling, and communication are used to oversee the organization's human, financial, physical, material, and commercial resources. In particular, through the case method approach, students will be introduced to the art of logical problem solving, while addressing such issues as corporate social responsibility and managerial ethics.
Course Component: Lecture"
ADM 1101,Social Context of Business (3 units),"
The course situates business within its changing socio-economic, political and technological environments. Managers must learn to both distinguish between and properly utilize the more confrontational world of lobbying, as well as the collaborative governance mechanisms that join private, public and civic organizations. Students will address real-world predicaments of ethical management, corporate social responsibility, and strategic governance that arise within the social context of business.
Course Component: Lecture"
ADM 1300,Introduction to Business Management (3 units),"
This course provides the student with the basic knowledge necessary to effectively manage an organization.  The student will learn what constitutes the manager's role and how the managerial functions of planning, organizing, leading, controlling and communication are used to oversee the organization's human, financial, physical, material, and commercial resources.  In particular through the Case Method Approach, students will be introduced to the art of logical problem solving, while addressing such issues as corporate social responsibility and managerial ethics.
Course Component: Discussion Group, Lecture"
ADM 1301,Social Context of Business (3 units),"
The course situates business within its changing socio-economic, political and tehnological environments. Managers must learn to both distinguish between and properly utilize the more confrontational world of lobbying, as well as the collaborative governance mechanisms that join private, public and civic organizations. Students will address real-world predicaments of ethical management, corporate social responsibility, and strategic governance that arise within the social context of business.
Course Component: Lecture"
ADM 1340,Financial Accounting (3 units),"
This course introduces students to the financial statements of an organization and the accounting system that produces them. Emphasis is placed on understanding the role the financial statements play in communicating meaningful information about the firm, and how estimates and accounting policy choices affect the numbers in the statements.
Course Component: Discussion Group, Lecture"
ADM 1370,Applications of Information Technology for Business (3 units),"
Introduction to information technology tools to support operational, tactical and strategic level processes and decision making in an organization. Business applications and problem solving using spreadsheets, databases and collaborative tools. Introduction to specific IT tools used to support operations and decision making within the various functional areas of an organization, including marketing, sales and customer service, human resources, finance and accounting. Introduction to business intelligence and performance management concepts and tools.
Course Component: Lecture"
ADM 2302,Business Analytics (3 units),"
Introduction to problem solving techniques with the focus on decision making for efficiency, profitability, and sustainability. Tools for structured problem solving applicable in the areas of management, finance, marketing, organizational planning, transportation, operations, and allocation of scarce resources. Emphasis on computer-based modeling approaches to facilitate formulation, resolution, and interpretation of the results.
Course Component: Discussion Group, Lecture"
ADM 2303,Statistics for Management (3 units),"
Introduction to the use of statistical methods and tools in business,  Data exploration. Descriptive statistics including graphical representation of data, measure of central tendency and dispersion.  Applications of random variables and their probability distribution in business.  Useful probability distributions in management, including binomial, Poisson, normal, exponential and uniform distributions.  Introduction to statistical process control and quality improvement.  Hands-on experience with Excel and/or Minitab. (The lab is optional.)
Course Component: Discussion Group, Lecture"
ADM 2304,Applications of Statistical Methods in Business (3 units),"
Topics include the estimation (using confidence intervals) and hypothesis testing (including non-parametric methods); correlation and the simple linear regression model (with extensions to multiple regression); and chi-square tests on qualitative data. Emphasis on understanding when and how to use (and not misuse) various methods.  Hands-on experience with statistical software tools. (The lab is optional.)
Course Component: Discussion Group, Lecture"
ADM 2313,The Entrepreneurial Society (3 units),"
The entrepreneurial process and characteristics of the entrepreneur; social entrepreneurship; intrapreneurship; women and minorities in entrepreneurship; entrepreneurial failure; entrepreneurship as an economic development strategy and resulting programs and policies; steps in moving entrepreneurial endeavors forward; introduction to ideation and business planning.
Course Component: Lecture"
ADM 2320,Marketing (3 units),"
Focus on the evolution of the marketing concept, segmentation and positioning, strategic decisions involving product, price, distribution and promotion, important environmental variables affecting marketing decision-making, as well as marketing planning and ethical issues.
Course Component: Lecture"
